ctname,rfgrp,popuni,ctname,stname,STABREV,state_deaths
"Arkansas County, AR",41.400000000000006,17667,Arkansas County,Arkansas,AR,1622.0
"Arlington County, VA",275.9999999999999,236350,Arlington County,Virginia,VA,3466.0
"Armstrong County, PA",91.99999999999997,65087,Armstrong County,Pennsylvania,PA,8865.0
"Armstrong County, TX",9.2,1892,Armstrong County,Texas,TX,17706.0
"Aroostook County, ME",114.99999999999994,66438,Aroostook County,Maine,ME,168.0
"Arthur County, NE",9.2,465,Arthur County,Nebraska,NE,636.0
"Ascension Parish, LA",69.0,124187,Ascension Parish,Louisiana,LA,5194.0
"Ashe County, NC",32.2,27068,Ashe County,North Carolina,NC,2731.0
"Ashland County, OH",55.20000000000001,51997,Ashland County,Ohio,OH,4890.0
"Ashland County, WI",41.400000000000006,15161,Ashland County,Wisconsin,WI,1675.0
"Ashley County, AR",36.800000000000004,19944,Ashley County,Arkansas,AR,1622.0
"Ashtabula County, OH",124.19999999999993,95698,Ashtabula County,Ohio,OH,4890.0
"Asotin County, WA",32.2,22563,Asotin County,Washington,WA,2056.0
"Assumption Parish, LA",32.2,22225,Assumption Parish,Louisiana,LA,5194.0
"Atascosa County, TX",41.400000000000006,50310,Atascosa County,Texas,TX,17706.0
"Atchison County, KS",23.0,15137,Atchison County,Kansas,KS,962.0
"Atchison County, MO",13.799999999999999,5163,Atchison County,Missouri,MO,2814.0
"Athens County, OH",73.6,56737,Athens County,Ohio,OH,4890.0
"Atkinson County, GA",18.4,8286,Atkinson County,Georgia,GA,6746.0
"Atlantic County, NJ",326.60000000000014,262057,Atlantic County,New Jersey,NJ,14511.0
"Atoka County, OK",23.0,13135,Atoka County,Oklahoma,OK,1418.0
"Attala County, MS",32.2,18340,Attala County,Mississippi,MS,3124.0
"Audrain County, MO",36.800000000000004,23699,Audrain County,Missouri,MO,2814.0
"Audubon County, IA",18.4,5503,Audubon County,Iowa,IA,1638.0
"Auglaize County, OH",55.20000000000001,45750,Auglaize County,Ohio,OH,4890.0
"Augusta County, VA",64.4,73113,Augusta County,Virginia,VA,3466.0
"Aurora County, SD",9.2,2740,Aurora County,South Dakota,SD,376.0
"Austin County, TX",32.2,29937,Austin County,Texas,TX,17706.0
"Autauga County, AL",59.80000000000001,55420,Autauga County,Alabama,AL,3770.0
"Avery County, NC",27.6,15235,Avery County,North Carolina,NC,2731.0
"Avoyelles Parish, LA",46.00000000000001,37774,Avoyelles Parish,Louisiana,LA,5194.0
"Baca County, CO",13.799999999999999,3576,Baca County,Colorado,CO,2094.0
"Bacon County, GA",18.4,10947,Bacon County,Georgia,GA,6746.0
"Bailey County, TX",9.2,6971,Bailey County,Texas,TX,17706.0
"Baker County, FL",23.0,26304,Baker County,Florida,FL,16059.0
"Baker County, GA",13.799999999999999,3092,Baker County,Georgia,GA,6746.0
"Baker County, OR",32.2,15679,Baker County,Oregon,OR,596.0
"Baldwin County, AL",151.7999999999999,216666,Baldwin County,Alabama,AL,3770.0
"Baldwin County, GA",46.00000000000001,39759,Baldwin County,Georgia,GA,6746.0
"Ballard County, KY",18.4,7914,Ballard County,Kentucky,KY,1492.0
"Baltimore County, MD",989.0000000000034,814538,Baltimore County,Maryland,MD,4427.0
"Baltimore city, MD",924.6000000000031,584876,Baltimore city,Maryland,MD,4427.0
"Bamberg County, SC",23.0,13645,Bamberg County,South Carolina,SC,3620.0
"Bandera County, TX",27.6,22634,Bandera County,Texas,TX,17706.0
"Banks County, GA",23.0,18988,Banks County,Georgia,GA,6746.0
"Banner County, NE",9.2,730,Banner County,Nebraska,NE,636.0
"Bannock County, ID",105.79999999999995,85629,Bannock County,Idaho,ID,571.0
"Baraga County, MI",18.4,7447,Baraga County,Michigan,MI,6581.0
"Barber County, KS",13.799999999999999,4472,Barber County,Kansas,KS,962.0
"Barbour County, AL",46.00000000000001,22210,Barbour County,Alabama,AL,3770.0
"Barbour County, WV",23.0,15761,Barbour County,West Virginia,WV,352.0
"Barnes County, ND",23.0,10234,Barnes County,North Dakota,ND,375.0
"Barnstable County, MA",266.79999999999984,211541,Barnstable County,Massachusetts,MA,8189.0
"Barnwell County, SC",32.2,21034,Barnwell County,South Carolina,SC,3620.0
"Barren County, KY",50.60000000000001,44007,Barren County,Kentucky,KY,1492.0
"Barron County, WI",50.60000000000001,45036,Barron County,Wisconsin,WI,1675.0
"Barrow County, GA",87.39999999999998,80750,Barrow County,Georgia,GA,6746.0
"Barry County, MI",55.20000000000001,61078,Barry County,Michigan,MI,6581.0
"Barry County, MO",36.800000000000004,35831,Barry County,Missouri,MO,2814.0
"Bartholomew County, IN",73.6,82494,Bartholomew County,Indiana,IN,4116.0
"Barton County, KS",41.400000000000006,25784,Barton County,Kansas,KS,962.0
"Barton County, MO",18.4,11792,Barton County,Missouri,MO,2814.0
"Bartow County, GA",73.6,105802,Bartow County,Georgia,GA,6746.0
"Bastrop County, TX",50.60000000000001,85167,Bastrop County,Texas,TX,17706.0
"Bates County, MO",23.0,16213,Bates County,Missouri,MO,2814.0
"Bath County, KY",18.4,12383,Bath County,Kentucky,KY,1492.0
"Bath County, VA",9.2,4292,Bath County,Virginia,VA,3466.0
"Baxter County, AR",46.00000000000001,41564,Baxter County,Arkansas,AR,1622.0
"Bay County, FL",206.99999999999983,183399,Bay County,Florida,FL,16059.0
"Bay County, MI",128.79999999999993,103730,Bay County,Michigan,MI,6581.0
"Bayfield County, WI",32.2,14988,Bayfield County,Wisconsin,WI,1675.0
"Baylor County, TX",9.2,3582,Baylor County,Texas,TX,17706.0
"Beadle County, SD",32.2,18799,Beadle County,South Dakota,SD,376.0
"Bear Lake County, ID",13.799999999999999,6050,Bear Lake County,Idaho,ID,571.0
"Beaufort County, NC",55.20000000000001,46988,Beaufort County,North Carolina,NC,2731.0
"Beaufort County, SC",193.19999999999985,188033,Beaufort County,South Carolina,SC,3620.0
"Beauregard Parish, LA",36.800000000000004,36170,Beauregard Parish,Louisiana,LA,5194.0
