
,Initial Claims,,,,Continued Claims,,,,I.U.R,,Covered Employment
,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.F.,S.A.,S.A. 4-Week,N.S.A,S.A.,
03/07/2020,"200,382",95.0,"211,000","215,750","1,977,272",116.2,"1,702,000","1,703,500",1.4,1.2,"145,230,691"
03/14/2020,"251,416",89.3,"282,000","232,500","2,074,782",116.3,"1,784,000","1,726,250",1.4,1.2,"145,230,691"
03/21/2020,"2,920,162",88.3,"3,307,000","1,004,250","3,416,645",111.7,"3,059,000","2,061,000",2.4,2.1,"145,230,691"
03/28/2020,"6,015,821",87.6,"6,867,000","2,666,750","8,168,375",109.7,"7,446,000","3,497,750",5.6,5.1,"145,230,691"
04/04/2020,"6,211,406",93.9,"6,615,000","4,267,750","12,461,658",104.6,"11,914,000","6,050,750",8.6,8.2,"145,671,710"
04/11/2020,"4,965,046",94.8,"5,237,000","5,506,500","16,277,322",102.9,"15,819,000","9,559,500",11.2,10.9,"145,671,710"
04/18/2020,"4,281,648",96.4,"4,442,000","5,790,250","17,794,965",98.8,"18,011,000","13,297,500",12.2,12.4,"145,671,710"
04/25/2020,"3,515,439",90.9,"3,867,000","5,040,250","21,772,595",97.3,"22,377,000","17,030,250",14.9,15.4,"145,671,710"
05/02/2020,"2,855,561",89.9,"3,176,000","4,180,500","20,879,704",92.6,"22,548,000","19,688,750",14.3,15.5,"145,671,710"
05/09/2020,"2,356,626",87.7,"2,687,000","3,543,000","22,794,145",91.5,"24,912,000","21,962,000",15.6,17.1,"145,671,710"
05/16/2020,"2,181,640",89.2,"2,446,000","3,044,000","18,861,428",90.5,"20,841,000","22,669,500",12.9,14.3,"145,671,710"
05/23/2020,"1,915,138",90.2,"2,123,000","2,608,000","19,098,624",89.8,"21,268,000","22,392,250",13.1,14.6,"145,671,710"
05/30/2020,"1,620,008",85.4,"1,897,000","2,288,250","18,628,166",90.4,"20,606,000","21,906,750",12.8,14.1,"145,671,710"
06/06/2020,"1,561,267",99.7,"1,566,000","2,008,000","18,422,711",90.8,"20,289,000","20,751,000",12.6,13.9,"145,671,710"
06/13/2020,"1,463,363",95.0,"1,540,000","1,781,500","17,654,450",91.8,"19,231,000","20,348,500",12.1,13.2,"145,671,710"
06/20/2020,"1,460,056",98.5,"1,482,000","1,621,250","17,427,940",92.9,"18,760,000","19,721,500",12.0,12.9,"145,671,710"
06/27/2020,"1,426,618",101.3,"1,408,000","1,499,000","16,516,869",93.0,"17,760,000","19,010,000",11.3,12.2,"145,671,710"
07/04/2020,"1,395,081",106.5,"1,310,000","1,435,000","17,321,763",100.1,"17,304,000","18,263,750",11.9,11.8,"146,125,989"
07/11/2020,"1,512,816",115.7,"1,308,000","1,377,000","16,344,839",101.2,"16,151,000","17,493,750",11.2,11.1,"146,125,989"
07/18/2020,"1,376,925",96.8,"1,422,000","1,362,000","16,815,346",99.2,"16,951,000","17,041,500",11.5,11.6,"146,125,989"
07/25/2020,"1,207,045",84.1,"1,435,000","1,368,750","15,832,498",98.4,"16,090,000","16,624,000",10.8,11.0,"146,125,989"
08/01/2020,"988,309",83.0,"1,191,000","1,339,000","15,201,491",98.2,"15,480,000","16,168,000",10.4,10.6,"146,125,989"
08/08/2020,"838,734",86.4,"971,000","1,254,750","14,182,946",96.1,"14,759,000","15,820,000",9.7,10.1,"146,125,989"
08/15/2020,"889,738",80.6,"1,104,000","1,175,250","13,869,218",95.7,"14,492,000","15,205,250",9.5,9.9,"146,125,989"
08/22/2020,"825,761",81.7,"1,011,000","1,069,250","13,142,717","-149,328.0","13,292,000","14,505,750",9.0,9.1,"146,125,989"
08/29/2020,"837,008","-47,248.0","884,000","992,500","13,355,586","-188,292.0","13,544,000","14,021,750",9.1,9.3,"146,125,989"
09/05/2020,"865,995","-27,029.0","893,000","973,000","12,440,863","-306,112.0","12,747,000","13,518,750",8.5,8.7,"146,125,989"
09/12/2020,"796,015","-69,623.0","866,000","913,500","12,431,032","-316,044.0","12,747,000","13,082,500",8.5,8.7,"146,125,989"
09/19/2020,"827,212","-45,732.0","873,000","879,000","11,622,396","-356,475.0","11,979,000","12,754,250",8.0,8.2,"146,125,989"
09/26/2020,"798,996","-49,983.0","849,000","870,250","10,230,506","-363,565.0","10,594,000","12,016,750",7.0,7.2,"146,125,989"
10/03/2020,"731,249","-35,664.0","767,000","838,750","9,011,067","-386,491.0","9,398,000","11,179,500",6.1,6.4,"146,534,375"
10/10/2020, ,"-12,520.0", , , ,"-380,477.0", , , , , 
10/17/2020, ,"-30,882.0", , , ,"-333,485.0", , , , , 
10/24/2020, ,"-18,884.0", , , ,"-333,727.0", , , , , 
10/31/2020, ,"-12,785.0", , , ,"-299,892.0", , , , , 
11/07/2020, ,"14,313.0", , , ,"-290,454.0", , , , , 
11/14/2020, ,"1,011.0", , , ,"-158,571.0", , , , , 
11/21/2020, ,"49,371.0", , , ,"-279,072.0", , , , , 
11/28/2020, ,"2,304.0", , , ,"24,213.0", , , , , 
12/05/2020, ,"94,637.0", , , ,"-15,190.0", , , , , 
12/12/2020, ,"49,900.0", , , ,"107,394.0", , , , , 
12/19/2020, ,"66,888.0", , , ,"39,070.0", , , , , 
12/26/2020, ,"54,233.0", , , ,"310,507.0", , , , , 
01/02/2021, ,"135,360.0", , , ,"585,465.0", , , , , 
01/09/2021, ,"186,002.0", , , ,"508,999.0", , , , , 
01/16/2021, ,"61,056.0", , , ,"437,522.0", , , , , 
01/23/2021, ,"27,383.0", , , ,"502,326.0", , , , , 
01/30/2021, ,"37,263.0", , , ,"480,553.0", , , , , 
02/06/2021, ,"19,895.0", , , ,"451,505.0", , , , , 
02/13/2021, ,"1,463.0", , , ,"409,256.0", , , , , 
02/20/2021, ,"-19,637.0", , , ,"511,207.0", , , , , 
02/27/2021, ,"2,721.0", , , ,"440,271.0", , , , , 
03/06/2021, ,"-2,808.0", , , ,"362,324.0", , , , , 
03/13/2021, ,"-23,769.0", , , ,"347,428.0", , , , , 
03/20/2021, ,"-27,634.0", , , ,"263,391.0", , , , , 
03/27/2021, ,"-30,555.0", , , ,"219,343.0", , , , , 
04/03/2021, ,"-31,040.0", , , ,"114,295.0", , , , , 
Run Date: 10/31/2020,,,,,,,,,,,
